the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
47,JT杯,トーナメント,2回戦,第2局,2026-08-22,☗,佐々木勇気,☆,★,近藤誠也,☖,北陸・信越大会
39,竜王戦,5組,昇級者決定戦,4回戦,2026-08-21,☖,宮田敦史,★,☆,谷合廣紀,☗,
12,叡王戦,七段戦予選,1回戦,Aブロック,2026-08-21,☖,阿部健治郎,★,☆,佐藤和俊,☗,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-21,☖,佐藤和俊,★,☆,梶浦宏孝,☗,
12,叡王戦,四段戦予選,1回戦,A組,2026-08-21,☗,川村悠人,☆,★,古井丈大,☖,
12,叡王戦,四段戦予選,2回戦,A組,2026-08-21,☖,川村悠人,★,☆,高橋佑二郎,☗,
75,王座戦,一次予選,2回戦,ホ組,2026-08-21,☖,炭崎俊毅,★,☆,石川優太,☗,
75,王座戦,一次予選,1回戦,ヘ組,2026-08-21,☗,竹内雄悟,☆,★,矢倉規広,☖,
98,棋聖戦,一次予選,ロ組,準決勝,2026-08-21,☖,石田直裕,★,☆,吉池隆真,☗,
98,棋聖戦,一次予選,ロ組,準決勝,2026-08-21,☗,小山直希,☆,★,佐藤慎一,☖,
98,棋聖戦,一次予選,ロ組,決勝,2026-08-21,☗,吉池隆真,★,☆,小山直希,☖,
98,棋聖戦,一次予選,ト組,準決勝,2026-08-21,☗,井田明宏,★,☆,森本才跳,☖,
98,棋聖戦,一次予選,ト組,準決勝,2026-08-21,☖,齊藤裕也,★,☆,柵木幹太,☗,
98,棋聖戦,一次予選,ト組,決勝,2026-08-21,☖,森本才跳,★,☆,柵木幹太,☗,
76,王将戦,挑戦者決定リーグ戦,1回戦,,2026-08-21,☗,伊藤匠,☆,★,西田拓也,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,中村太地,☆,★,稲葉陽,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☖,渡辺明,☆,★,斎藤慎太郎,☗,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,大橋貴洸,☆,★,山崎隆之,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,服部慎一郎,☆,★,菅井竜也,☖,
85,順位戦,B級1組,4回戦,,2026-08-20,☖,澤田真吾,★,☆,藤本渚,☗,
85,順位戦,B級1組,4回戦,,2026-08-20,☗,佐藤康光,★,☆,久保利明,☖,
12,叡王戦,七段戦予選,1回戦,Aブロック,2026-08-20,☗,豊川孝弘,★,☆,窪田義行,☖,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-20,☖,窪田義行,★,☆,佐藤紳哉,☗,
75,王座戦,一次予選,1回戦,ニ組,2026-08-20,☗,上村亘,☆,★,松本佳介,☖,
75,王座戦,一次予選,1回戦,ホ組,2026-08-20,☖,山本真也,★,☆,安用寺孝功,☗,
75,王座戦,一次予選,2回戦,ホ組,2026-08-20,☗,杉本昌隆,★,☆,宮本広志,☖,
75,王座戦,一次予選,2回戦,ホ組,2026-08-20,☖,井上慶太,★,☆,折田翔吾,☗,
98,棋聖戦,一次予選,イ組,準決勝,2026-08-20,☗,飯島栄治,★,☆,小窪碧,☖,
98,棋聖戦,一次予選,イ組,準決勝,2026-08-20,☗,阿部光瑠,☆,★,瀬川晶司,☖,
98,棋聖戦,一次予選,イ組,決勝,2026-08-20,☗,小窪碧,☆,★,阿部光瑠,☖,
98,棋聖戦,一次予選,ハ組,準決勝,2026-08-20,☖,齊藤優希,☆,★,村中秀史,☗,
98,棋聖戦,一次予選,ハ組,決勝,2026-08-20,☖,齊藤優希,☆,★,山川泰熙,☗,
52,棋王戦,挑戦者決定トーナメント,3回戦,,2026-08-20,☖,斎藤明日斗,★,☆,古賀悠聖,☗,
76,王将戦,挑戦者決定リーグ戦,1回戦,,2026-08-20,☗,郷田真隆,☆,★,本田奎,☖,
39,竜王戦,4組,昇級者決定戦,3回戦,2026-08-19,☗,高田明浩,★,☆,千田翔太,☖,
12,叡王戦,九段戦予選,1回戦,Bブロック,2026-08-19,☖,富岡英作,★,☆,屋敷伸之,☗,
12,叡王戦,九段戦予選,2回戦,Bブロック,2026-08-19,☗,島朗,★,☆,屋敷伸之,☖,
12,叡王戦,六段戦予選,1回戦,Bブロック,2026-08-19,☖,黒沢怜生,★,☆,遠山雄亮,☗,
12,叡王戦,六段戦予選,1回戦,Bブロック,2026-08-19,☖,渡辺大夢,☆,★,渡辺正和,☖,
12,叡王戦,六段戦予選,2回戦,Bブロック,2026-08-19,☖,遠山雄亮,☆,★,渡辺大夢,☗,
12,叡王戦,五段戦予選,2回戦,A組,2026-08-19,☗,井出隼平,☆,★,長谷部浩平,☖,
67,王位戦,七番勝負,第4局,,2026-08-19,☖,藤井聡太,★,☆,伊藤匠,☗,2026
75,王座戦,一次予選,2回戦,ニ組,2026-08-19,☗,小山怜央,☆,★,金井恒太,☖,
75,王座戦,一次予選,1回戦,ホ組,2026-08-19,☖,南芳一,★,☆,長岡裕也,☗,
75,王座戦,一次予選,2回戦,ホ組,2026-08-19,☖,池永天志,☆,★,畠山成幸,☗,
75,王座戦,一次予選,1回戦,ヘ組,2026-08-19,☗,生垣寛人,☆,★,小林裕士,☖,
20,朝日杯,一次予選,14組,2回戦,2026-08-19,☗,北浜健介,☆,★,狩山幹生,☖,
20,朝日杯,一次予選,14組,準決勝,2026-08-19,☖,阿部隆,★,☆,北浜健介,☗,
12,叡王戦,八段戦予選,2回戦,Bブロック,2026-08-18,☗,野月浩貴,★,☆,近藤誠也,☖,
12,叡王戦,七段戦予選,1回戦,Aブロック,2026-08-18,☖,高野秀行,★,☆,北島忠雄,☗,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-18,☖,戸辺誠,☆,★,北島忠雄,☗,
12,叡王戦,七段戦予選,2回戦,Aブロック,2026-08-18,☖,三枚堂達也,☆,★,横山泰明,☗,
75,王座戦,一次予選,1回戦,ハ組,2026-08-18,☗,佐藤秀司,☆,★,中村亮介,☖,
98,棋聖戦,一次予選,ニ組,準決勝,2026-08-18,,西尾明,☆,★,獺ヶ口笑保人,,
98,棋聖戦,一次予選,ニ組,準決勝,2026-08-18,☗,片山史龍,☆,★,近藤正和,☖,
98,棋聖戦,一次予選,ニ組,決勝,2026-08-18,☗,西尾明,☆,★,片山史龍,☖,
98,棋聖戦,一次予選,ヘ組,準決勝,2026-08-18,☖,徳田拳士,☆,★,古森悠太,☗,
98,棋聖戦,一次予選,チ組,準決勝,2026-08-18,☖,上野裕寿,★,☆,船江恒平,☗,
98,棋聖戦,一次予選,チ組,決勝,2026-08-18,☗,山下数毅,☆,★,船江恒平,☖,
12,叡王戦,四段戦予選,2回戦,A組,2026-08-17,☖,齊藤優希,☆,★,宮嶋健太,☗,
75,王座戦,一次予選,1回戦,ハ組,2026-08-17,☖,森下卓,★,☆,川村悠人,☗,
52,棋王戦,挑戦者決定トーナメント,2回戦,,2026-08-17,☖,千葉幸生,☆,★,菅井竜也,☗,
39,竜王戦,6組,昇級者決定戦,4回戦,2026-08-14,☗,神崎健二,★,☆,森本才跳,☖,
75,王座戦,一次予選,1回戦,ニ組,2026-08-14,☗,福間香奈,★,☆,島本亮,☖,
75,王座戦,一次予選,1回戦,ホ組,2026-08-14,☖,村田智弘,☆,★,平藤眞吾,☗,
39,竜王戦,挑戦者決定戦,三番勝負,第2局,2026-08-13,☗,柵木幹太,★,☆,服部慎一郎,☖,千日手
39,竜王戦,6組,昇級者決定戦,4回戦,2026-08-13,☖,山川泰熙,☆,★,小山直希,☗,
75,王座戦,一次予選,1回戦,イ組,2026-08-13,☗,神谷広志,★,☆,日浦市郎,☖,
75,王座戦,一次予選,1回戦,ハ組,2026-08-13,☖,北島忠雄,★,☆,岩村凛太朗,☗,
75,王座戦,一次予選,1回戦,ニ組,2026-08-13,☗,高野秀行,☆,★,渡辺正和,☖,
75,王座戦,一次予選,1回戦,ホ組,2026-08-13,☗,中田功,★,☆,浦野真彦,☖,
75,王座戦,一次予選,2回戦,ヘ組,2026-08-13,☖,西川和宏,★,☆,狩山幹生,☗,
52,棋王戦,挑戦者決定トーナメント,2回戦,,2026-08-13,☗,石井健太郎,☆,★,佐々木勇気,☖,
20,朝日杯,一次予選,6組,2回戦,2026-08-13,☖,古田龍生アマ,★,☆,郷田真隆,☗,
20,朝日杯,一次予選,8組,2回戦,2026-08-13,☗,小窪碧,★,☆,横山泰明,☖,
20,朝日杯,一次予選,6組,準決勝,2026-08-13,☗,渡辺和史,☆,★,郷田真隆,☖,
20,朝日杯,一次予選,12組,準決勝,2026-08-13,☗,古森悠太,★,☆,久保利明,☖,
20,朝日杯,一次予選,13組,準決勝,2026-08-13,☗,折田翔吾,☆,★,稲葉陽,☖,
4,達人戦,予選,4組,1回戦,2026-08-13,☗,鈴木大介,☆,★,佐藤秀司,☖,
4,達人戦,予選,4組,2回戦,2026-08-13,☖,島朗,★,☆,鈴木大介,☗,
57,新人戦,トーナメント,準々決勝,,2026-08-13,☖,藤本渚,☆,★,吉池隆真,☗,A
39,竜王戦,6組,昇級者決定戦,4回戦,2026-08-12,☗,安用寺孝功,☆,★,瀬川晶司,☖,
75,王座戦,一次予選,2回戦,ロ組,2026-08-12,☖,齊藤優希,☆,★,黒沢怜生,☗,
75,王座戦,一次予選,2回戦,ロ組,2026-08-12,☗,村中秀史,★,☆,阿部健治郎,☖,
75,王座戦,一次予選,1回戦,ハ組,2026-08-12,☖,伊藤真吾,☆,★,塚田泰明,☗,
75,王座戦,一次予選,2回戦,ハ組,2026-08-12,☖,飯塚祐紀,★,☆,谷合廣紀,☗,
75,王座戦,一次予選,2回戦,ニ組,2026-08-12,☗,千葉幸生,☆,★,高崎一生,☖,
52,棋王戦,挑戦者決定トーナメント,2回戦,,2026-08-12,☖,吉池隆真,★,☆,大石直嗣,☗,
20,朝日杯,一次予選,12組,2回戦,2026-08-12,☗,都成竜馬,★,☆,菅井竜也,☖,
20,朝日杯,一次予選,12組,2回戦,2026-08-12,☗,炭崎俊毅,☆,★,井上慶太,☖,
20,朝日杯,一次予選,14組,2回戦,2026-08-12,☗,山下数毅,☆,★,杉本昌隆,☖,
20,朝日杯,一次予選,12組,準決勝,2026-08-12,☖,菅井竜也,☆,★,炭崎俊毅,☗,
20,朝日杯,一次予選,14組,準決勝,2026-08-12,☖,冨田誠也,☆,★,山下数毅,☗,千日手
4,達人戦,予選,2組,1回戦,2026-08-12,☖,今泉健司,★,☆,中田功,☗,
16,青流戦,トーナメント,3回戦,,2026-08-12,☖,慶田義法アマ,☆,★,小山怜央,☗,s
16,青流戦,トーナメント,4回戦,,2026-08-12,☖,慶田義法アマ,★,☆,鳥巣友希三段,☗,
20,朝日杯,一次予選,11組,2回戦,2026-08-11,☗,藤本渚,☆,★,森本才跳,☖,
20,朝日杯,一次予選,13組,2回戦,2026-08-11,☖,生垣寛人,★,☆,古賀悠聖,☗,
20,朝日杯,一次予選,11組,準決勝,2026-08-11,☖,藤本渚,☆,★,山崎隆之,☗,
20,朝日杯,一次予選,13組,準決勝,2026-08-11,☗,上野裕寿,☆,★,古賀悠聖,☖,
75,王座戦,一次予選,1回戦,ロ組,2026-08-10,☖,大平武洋,★,☆,窪田義行,☗,
75,王座戦,一次予選,2回戦,ハ組,2026-08-10,☗,本田奎,☆,★,中川大輔,☖,
75,王座戦,一次予選,2回戦,ヘ組,2026-08-10,☖,村田顕弘,★,☆,井田明宏,☗,
52,棋王戦,挑戦者決定トーナメント,3回戦,,2026-08-10,☖,伊藤匠,☆,★,大橋貴洸,☗,
20,朝日杯,一次予選,3組,2回戦,2026-08-10,☖,野月浩貴,☆,★,渡辺大夢,☗,
20,朝日杯,一次予選,3組,2回戦,2026-08-10,☗,古井丈大,☆,★,佐藤紳哉,☖,
20,朝日杯,一次予選,4組,2回戦,2026-08-10,☖,中村修,★,☆,高橋佑二郎,☗,
20,朝日杯,一次予選,4組,2回戦,2026-08-10,☗,川村悠人,☆,★,真田圭一,☖,
20,朝日杯,一次予選,15組,1回戦,2026-08-10,☗,柵木幹太,☆,★,福間香奈,☖,
20,朝日杯,一次予選,15組,2回戦,2026-08-10,☖,柵木幹太,☆,★,出口若武,☗,
20,朝日杯,一次予選,3組,準決勝,2026-08-10,☖,野月浩貴,☆,★,古井丈大,☗,
20,朝日杯,一次予選,4組,準決勝,2026-08-10,☖,高橋佑二郎,★,☆,川村悠人,☗,
47,JT杯,トーナメント,2回戦,第1局,2026-08-08,☖,伊藤匠,★,☆,斎藤慎太郎,☗,北海道大会
52,棋王戦,挑戦者決定トーナメント,2回戦,,2026-08-07,☖,中村太地,★,☆,豊島将之,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,畠山成幸,★,☆,藤森哲也,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,宮嶋健太,★,☆,田村康介,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,八代弥,☆,★,狩山幹生,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,星野良生,★,☆,岩村凛太朗,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,梶浦宏孝,☆,★,牧野光則,☗,千日手
85,順位戦,C級2組,3回戦,,2026-08-06,☖,谷合廣紀,☆,★,本田奎,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,徳田拳士,☆,★,佐藤慎一,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,折田翔吾,★,☆,高橋佑二郎,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,山川泰熙,★,☆,炭崎俊毅,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,井出隼平,☆,★,生垣寛人,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,吉池隆真,☆,★,中村亮介,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,石田直裕,☆,★,伊藤真吾,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,佐藤紳哉,★,☆,川村悠人,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,村中秀史,☆,★,今泉健司,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,獺ヶ口笑保人,☆,★,柵木幹太,☗,
85,順位戦,C級2組,3回戦,,2026-08-06,☗,千葉幸生,☆,★,阪口悟,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,齊藤裕也,☆,★,金井恒太,☗,千日手
85,順位戦,C級2組,3回戦,,2026-08-06,☗,瀬川晶司,★,☆,森本才跳,☖,
85,順位戦,C級2組,3回戦,,2026-08-06,☖,上村亘,★,☆,小窪碧,☗,
20,朝日杯,一次予選,2組,2回戦,2026-08-06,☗,小山怜央,☆,★,田中悠一,☖,
20,朝日杯,一次予選,2組,2回戦,2026-08-06,☖,片山史龍,★,☆,山本博志,☗,
20,朝日杯,一次予選,2組,準決勝,2026-08-06,☖,小山怜央,★,☆,山本博志,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☗,青嶋未来,☆,★,岡部怜央,☖,
85,順位戦,B級2組,3回戦,,2026-08-05,☗,石井健太郎,★,☆,丸山忠久,☖,千日手
85,順位戦,B級2組,3回戦,,2026-08-05,☖,高見泰地,★,☆,西田拓也,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,羽生善治,★,☆,斎藤明日斗,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,村山慈明,★,☆,阿久津主税,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☗,古賀悠聖,★,☆,松尾歩,☖,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,横山泰明,★,☆,谷川浩司,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,渡辺和史,☆,★,屋敷伸之,☗,
85,順位戦,B級2組,3回戦,,2026-08-05,☖,戸辺誠,★,☆,郷田真隆,☗,
