the,match,phase,detail,notes,game_date,A,player_A,a,b,player_B,B,others
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-18,☗,佐藤天彦,★,☆,高崎一生,☖,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-17,☖,羽生善治,☆,★,服部慎一郎,☗,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-21,☖,大橋貴洸,★,☆,八代弥,☗,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-25,☗,三浦弘行,★,☆,永瀬拓矢,☖,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-21,☗,佐々木大地,☆,★,斎藤慎太郎,☖,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-28,☗,木村一基,★,☆,西田拓也,☖,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-13,☖,及川拓馬,☆,★,澤田真吾,☗,
96,棋聖戦,決勝トーナメント,1回戦,,2025-03-18,☗,杉本和陽,☆,★,山崎隆之,☖,
96,棋聖戦,決勝トーナメント,2回戦,,2025-04-10,☖,高崎一生,★,☆,羽生善治,☗,
96,棋聖戦,決勝トーナメント,2回戦,,2025-04-13,☗,八代弥,★,☆,永瀬拓矢,☖,
96,棋聖戦,決勝トーナメント,2回戦,,2025-04-09,☖,佐々木大地,★,☆,西田拓也,☗,
96,棋聖戦,決勝トーナメント,2回戦,,2025-04-08,☗,及川拓馬,★,☆,杉本和陽,☖,
96,棋聖戦,決勝トーナメント,準決勝,,2025-04-17,☖,羽生善治,★,☆,永瀬拓矢,☗,
96,棋聖戦,決勝トーナメント,準決勝,,2025-04-18,☖,西田拓也,★,☆,杉本和陽,☗,
96,棋聖戦,挑戦者決定戦,,,2025-04-25,☖,永瀬拓矢,★,☆,杉本和陽,☗,
