id,name,meet,accept,opp1,date1,res1,opp2,date2,res2,opp3,date3,res3,opp4,date4,res4,opp5,date5,res5,opp6,date6,res6,escape
1,瀬川晶司,,,佐藤天彦,2005-07-18,●,神吉宏充,2005-08-14,○,久保利明,2005-09-17,●,中井広恵,2005-10-10,○,高野秀行,2005-11-06,○,長岡裕也,2005-11-26,,2009-05-15
2,今泉健司,2014-07-05,2014-07-22,宮本広志,2014-09-23,○,星野良生,2014-10-05,○,三枚堂達也,2014-11-18,●,石井健太郎,2014-12-08,○,竹内雄悟,,,,,,2016-11-17
3,折田翔吾,2019-08-30,2019-09-17,黒田尭之,2019-11-25,○,出口若武,2019-12-23,●,山本博志,2020-01-27,○,本田奎,2020-02-25,○,池永天志,2020-03-09,,,,,2023-05-10
4,里見香奈,2022-05-27,2022-06-24,徳田拳士,2022-08-18,●,岡部怜央,2022-09-22,●,狩山幹生,2022-10-13,●,横山友紀,,,高田明浩,,,,,,
5,小山怜央,2022-09-13,2022-09-28,徳田拳士,2022-11-28,○,岡部怜央,2022-12-12,○,狩山幹生,2023-01-20,●,横山友紀,2023-02-13,○,高田明浩,,,,,,2024-07-15
6,西山朋佳,2024-07-04,2024-07-25,高橋佑二郎,2024-09-10,○,山川泰熙,2024-10-02,●,上野裕寿,2024-11-08,●,宮嶋健太,2024-12-17,○,柵木幹太,2025-01-22,●,,,,
7,福間香奈,2025-10-06,2025-11-04,山下数毅,2026-01-27,●,片山史龍,2026-02-16,●,生垣寛人,2026-03-27,●,岩村凛太郎,,,炭崎俊毅,,,,,,
